Date,open,high,low,close,adjclose,volume,ticker
2021-10-07,23.85000038,23.89999962,23.5,23.54999924,21.14405823,9134428,IRFC.NS
2021-10-08,23.64999962,23.79999924,23.54999924,23.60000038,21.18894958,7914906,IRFC.NS
2021-10-11,23.75,23.79999924,23.54999924,23.54999924,21.14405823,7353291,IRFC.NS
2021-10-12,23.54999924,23.64999962,23.39999962,23.45000076,21.05427551,8386488,IRFC.NS
2021-10-13,23.5,24.10000038,23.39999962,23.64999962,21.23384285,13948613,IRFC.NS
2021-10-14,23.70000076,23.85000038,23.60000038,23.60000038,21.18894958,12702200,IRFC.NS
2021-10-18,23.79999924,24.75,23.70000076,24.35000038,21.86232948,43875005,IRFC.NS
2021-10-19,24.45000076,24.60000038,23.64999962,23.85000038,21.41341209,23602125,IRFC.NS
2021-10-20,23.89999962,23.95000076,23.39999962,23.54999924,21.14405823,12927201,IRFC.NS
2021-10-21,23.64999962,24.35000038,23.60000038,24.20000076,21.7276535,25331808,IRFC.NS
2021-10-22,24.39999962,26.14999962,24.14999962,25.79999924,23.16419029,115092468,IRFC.NS
2021-10-25,26.20000076,26.39999962,24.60000038,24.95000076,22.40103149,53319421,IRFC.NS
2021-10-26,25,25.39999962,24.60000038,24.89999962,22.35613823,24445799,IRFC.NS
2021-10-27,25,25.29999924,24.79999924,24.85000038,22.31124878,18162921,IRFC.NS
2021-10-28,24.85000038,24.95000076,24.04999924,24.14999962,21.68276024,17364266,IRFC.NS
2021-10-29,23.85000038,24.35000038,23.25,24.20000076,21.7276535,16105471,IRFC.NS
2021-11-01,24.60000038,25.29999924,24.5,24.60000038,22.08678627,22482750,IRFC.NS
2021-11-02,24.79999924,24.85000038,24.45000076,24.54999924,22.04189491,12204586,IRFC.NS
2021-11-03,24.70000076,25.20000076,24.54999924,25.04999924,22.49081421,19662155,IRFC.NS
2021-11-04,25.29999924,25.5,25.20000076,25.29999924,22.7152729,9910868,IRFC.NS
2021-11-08,25.5,25.64999962,25.04999924,25.39999962,22.80505562,22364054,IRFC.NS
2021-11-09,25.70000076,26,25.35000038,25.85000038,23.20908356,27949534,IRFC.NS
2021-11-10,25.14999962,25.25,24.70000076,24.79999924,22.94997025,18408557,IRFC.NS
2021-11-11,24.75,24.79999924,24.54999924,24.54999924,22.7186203,9087058,IRFC.NS
2021-11-12,24.54999924,24.64999962,24.20000076,24.39999962,22.57980919,9367045,IRFC.NS
2021-11-15,24.70000076,24.75,24.20000076,24.29999924,22.48727036,7472234,IRFC.NS
2021-11-16,24.39999962,24.39999962,24.20000076,24.25,22.44099998,4493317,IRFC.NS
2021-11-17,24.14999962,24.25,23.95000076,24,22.20965004,7206748,IRFC.NS
2021-11-18,23.95000076,24.04999924,23.54999924,23.54999924,21.79321861,12290674,IRFC.NS
2021-11-22,23.5,24,23.35000038,23.75,21.97829819,15144944,IRFC.NS
2021-11-23,23.79999924,24,23.5,23.85000038,22.07084084,7176938,IRFC.NS
2021-11-24,23.95000076,24,23.70000076,23.75,21.97829819,5884980,IRFC.NS
2021-11-25,23.75,23.79999924,23.54999924,23.70000076,21.93202972,5125837,IRFC.NS
2021-11-26,23.5,23.70000076,23.29999924,23.35000038,21.60813904,7209870,IRFC.NS
2021-11-29,23.14999962,23.89999962,22.70000076,23.14999962,21.42305756,26736896,IRFC.NS
2021-11-30,23.14999962,23.60000038,23.14999962,23.25,21.5155983,4271236,IRFC.NS
2021-12-01,23.39999962,23.45000076,23.10000038,23.14999962,21.42305756,5898569,IRFC.NS
2021-12-02,23.35000038,23.35000038,23.10000038,23.25,21.5155983,4187212,IRFC.NS
2021-12-03,23.20000076,23.75,23.20000076,23.39999962,21.6544075,5631044,IRFC.NS
2021-12-06,23.5,23.54999924,23.20000076,23.29999924,21.56186676,5983533,IRFC.NS
2021-12-07,23.5,23.60000038,23.10000038,23.20000076,21.46932983,6328241,IRFC.NS
2021-12-08,23.35000038,23.5,23.25,23.39999962,21.6544075,4939244,IRFC.NS
2021-12-09,23.54999924,23.79999924,23.35000038,23.60000038,21.83948898,5503212,IRFC.NS
2021-12-10,23.60000038,23.79999924,23.54999924,23.70000076,21.93202972,5319317,IRFC.NS
2021-12-13,23.89999962,23.89999962,23.54999924,23.60000038,21.83948898,4212726,IRFC.NS
2021-12-14,23.39999962,23.64999962,23.39999962,23.45000076,21.70067787,4350221,IRFC.NS
2021-12-15,23.45000076,23.54999924,23.20000076,23.29999924,21.56186676,4861713,IRFC.NS
2021-12-16,23.35000038,23.45000076,22.79999924,23.04999924,21.33051682,9157304,IRFC.NS
2021-12-17,23.10000038,23.10000038,22.70000076,22.79999924,21.09916687,10293500,IRFC.NS
2021-12-20,22.75,22.75,22.45000076,22.5,20.82154655,7969017,IRFC.NS
2021-12-21,22.54999924,22.75,22.45000076,22.5,20.82154655,7246168,IRFC.NS
2021-12-22,22.60000038,22.70000076,22.39999962,22.60000038,20.9140873,7072820,IRFC.NS
2021-12-23,22.70000076,23.04999924,22.64999962,22.89999962,21.19170761,8518409,IRFC.NS
2021-12-24,22.85000038,22.85000038,22.45000076,22.54999924,20.86781693,6593200,IRFC.NS
2021-12-27,22.60000038,22.70000076,22.45000076,22.60000038,20.9140873,4025184,IRFC.NS
2021-12-28,22.60000038,22.89999962,22.54999924,22.79999924,21.09916687,4058607,IRFC.NS
2021-12-29,22.85000038,23.04999924,22.79999924,22.85000038,21.14543915,3573893,IRFC.NS
2021-12-30,22.89999962,22.95000076,22.75,22.79999924,21.09916687,2701320,IRFC.NS
2021-12-31,22.89999962,23,22.79999924,22.85000038,21.14543915,3542826,IRFC.NS
2022-01-03,22.95000076,23.10000038,22.89999962,23.04999924,21.33051682,6385594,IRFC.NS
